Node,Label,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Community,Frequency,Disaster_Ratio
#news,#news,83,0.043116883116883116,0.0768600077614549,0.1049294396752024,0.3414969770560714,0.011195021412318519,1,76,0.7368421052631579
#usa,#usa,29,0.015064935064935066,0.005599416509253824,0.07468838132377006,0.006652506834121326,0.002431619783875771,2,6,0.6666666666666666
#nuclear,#nuclear,26,0.013506493506493506,0.02139004191289425,0.08451654526739852,0.0004242466435648052,0.0030206423858888825,0,9,0.7777777777777778
#uk,#uk,24,0.012467532467532468,0.004899035808873107,0.07463835561625247,0.006644471461276543,0.0019093294901603608,2,5,0.6
#jobs,#jobs,23,0.011948051948051947,0.01190352054933518,0.06680759288672958,1.3519406914349464e-06,0.0033736685072174415,3,14,0.0
#africa,#africa,23,0.011948051948051947,0.0020427331365603673,0.08736578983540959,0.05634100535552059,0.0020712713369218923,1,6,1.0
#japan,#japan,22,0.011428571428571429,0.028543072076234875,0.09415721583021963,0.005884977785109266,0.0027127747602384475,0,11,1.0
#bbc,#bbc,21,0.01090909090909091,0.0008878072376926462,0.08655150674568149,0.30919432702084304,0.003102245276203911,1,10,0.7
#india,#india,20,0.01038961038961039,0.006279388097569918,0.08388036502451256,0.056365487106700134,0.0023387597900229934,1,10,1.0
#disaster,#disaster,20,0.01038961038961039,0.01242247803648829,0.07979596486578226,0.00011482580875717721,0.0023291079510427467,0,8,1.0
#islam,#islam,20,0.01038961038961039,0.0008681408681408682,0.08477372760370099,0.3065238117050366,0.0033419063953149626,1,23,0.391304347826087
#terrorism,#terrorism,20,0.01038961038961039,0.00037008037008036995,0.0845486076897306,0.30953189976665285,0.003344964626457549,1,11,0.7272727272727273
#us,#us,19,0.00987012987012987,0.00707137441167032,0.06942994700004046,2.3774153751724778e-05,0.0022939441872072224,0,7,0.5714285714285714
#cnn,#cnn,19,0.00987012987012987,0.0003776871017130758,0.08615003087364896,0.30904342632749804,0.0029358196774587966,1,9,0.6666666666666666
#accident,#accident,19,0.00987012987012987,0.002838602838602818,0.056494329498131775,1.5912684253023726e-06,0.0018171360587796036,7,4,1.0
#hiroshima,#hiroshima,18,0.00935064935064935,0.003934614840394819,0.0865851320396775,0.01092869510505729,0.0025496190828133342,0,22,1.0
#landslide,#landslide,18,0.00935064935064935,0.0035184788751222314,0.07194000318596833,0.005677714602287018,0.001627465868179064,2,5,0.6
#hailstorm,#hailstorm,18,0.00935064935064935,0.006216615837305491,0.05395064872189056,1.884507116660698e-09,0.0019380207811182859,4,7,1.0
#business,#business,18,0.00935064935064935,0.00891999891999892,0.0672917058786624,9.103844527675184e-05,0.001950628142004352,6,7,0.4285714285714285
#nowplaying,#nowplaying,18,0.00935064935064935,0.005069399069399098,0.06737307432591592,0.0001780528954714121,0.002585179882700059,9,23,0.0869565217391304
#drought,#drought,17,0.008831168831168832,0.02037669792243342,0.07666671134163394,7.268172698463857e-06,0.0020229333496084717,4,6,0.8333333333333334
#airplane,#airplane,17,0.008831168831168832,0.0021382221382221876,0.056465703032715954,1.5676971491820979e-06,0.0015032893322427384,7,3,1.0
#ca,#ca,17,0.008831168831168832,0.006551991330564916,0.07643008568934495,0.0012586487395387805,0.0012235191683079105,2,2,1.0
#free,#free,15,0.007792207792207792,0.010800640800640799,0.0563657384598204,2.6845609909527323e-06,0.0015661339121230016,5,4,0.0
#photography,#photography,15,0.007792207792207792,0.007054958868127092,0.07900394536339236,9.659713674124659e-05,0.0017248169319072758,8,6,0.6666666666666666
#hostages,#hostages,15,0.007792207792207792,0.0005704665079237891,0.08635030215812858,0.056092742068099256,0.0016851691234749124,1,4,1.0
#fire,#fire,15,0.007792207792207792,0.0038469638469638464,0.05371658950834656,2.4608425693409693e-08,0.0017369095080660038,3,4,0.5
#military,#military,15,0.007792207792207792,0.016408260953897656,0.06609434456409546,1.4320952045030385e-06,0.001918035279144111,5,6,0.0
#california,#california,15,0.007792207792207792,0.01011767243561175,0.07596118945812197,7.260629469404888e-06,0.0014332349483403754,4,5,0.8
#emergency,#emergency,15,0.007792207792207792,0.006960983681263393,0.06326146178544703,1.4342330369995984e-06,0.001508693216098068,3,5,0.6
#rt,#rt,14,0.007272727272727273,0.001402111402111402,0.04872543285311103,2.5855704770555215e-06,0.0013343415735400232,5,9,0.2222222222222222
#avalanche,#avalanche,14,0.007272727272727273,0.01151711306266182,0.07131844155844157,0.0055730337998534385,0.001325917455341236,2,4,0.5
#gop,#gop,14,0.007272727272727273,0.002491102412325927,0.07304822349070136,0.01576549363612024,0.000942818505882507,1,3,0.6666666666666666
#yyc,#yyc,14,0.007272727272727273,0.00036079577458887803,0.04674289636537959,6.687419928334067e-11,0.001574818665290465,4,10,1.0
#nytimes,#nytimes,14,0.007272727272727273,0.00013986013986013986,0.07951128429187651,0.00022388702756962167,0.0017115021358350207,0,3,1.0
#armageddon,#armageddon,13,0.006753246753246753,1.7874017874017874e-05,0.0067324675324675325,1.9098138400210597e-26,0.0011951772182212106,10,6,0.1666666666666666
#love,#love,13,0.006753246753246753,2.4354024354024352e-05,0.0070129870129870125,1.8960503834654667e-26,0.0011586929156117466,10,4,0.25
#libya,#libya,13,0.006753246753246753,0.0014335808102041857,0.08356585296967749,0.055983405982711364,0.0016088824779600902,1,5,1.0
#art,#art,13,0.006753246753246753,0.0028325188325188325,0.06599648500744149,3.8151326892368715e-06,0.0015180439394701266,8,6,0.1666666666666666
#porn,#porn,13,0.006753246753246753,0.003827793827793827,0.04878943298382878,0.0001391061775322124,0.0011140745880401598,5,3,0.0
#job,#job,13,0.006753246753246753,0.0010016973093896157,0.05612443461851672,1.202930022697001e-07,0.0018724018108404615,3,12,0.0
#video,#video,13,0.006753246753246753,0.0013986013986013984,0.048714782485274284,2.5426026292987495e-06,0.0012551991343026205,5,4,0.5
#isis,#isis,13,0.006753246753246753,0.00037116037116037104,0.08282056108143064,0.30356953203674913,0.002626042420816022,1,12,0.75
#oil,#oil,13,0.006753246753246753,0.0021076221076221074,0.056522985003837144,1.561279871833461e-06,0.0015720306352936747,6,3,0.0
#allah,#allah,13,0.006753246753246753,0.0017571617571617568,0.07131844155844157,0.005537635371046424,0.0013914671600589088,2,5,0.4
#france,#france,12,0.006233766233766234,0.0017604017604017596,0.07131844155844157,0.0054865574510056265,0.0011310886648196814,2,3,0.3333333333333333
#calgary,#calgary,12,0.006233766233766234,0.00021537621537621378,0.0467232976666939,3.722072571279206e-11,0.0010986416350223535,4,3,1.0
#terror,#terror,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#thunder,#thunder,12,0.006233766233766234,0.003628478894197833,0.05622354436683397,1.917084153799437e-09,0.0015181310462153306,11,4,0.5
#pakistan,#pakistan,12,0.006233766233766234,0.004059866738188415,0.08285134939410033,0.011654876688795677,0.0013323984715742818,2,6,0.8333333333333334
